Pclass,Sex,Age,Fare,Embarked,IsAlone,Title,PassengerId
3,1,2,0,2,1,1,892
3,0,2,0,0,0,3,893
2,1,3,1,2,1,1,894
3,1,1,1,0,1,1,895
3,0,1,1,0,0,3,896
3,1,0,1,0,1,1,897
3,0,1,0,2,1,2,898
2,1,1,2,0,0,1,899
3,0,1,0,1,1,3,900
3,1,1,2,0,0,1,901
3,1,1,0,0,1,1,902
1,1,2,2,0,1,1,903
1,0,1,3,0,0,3,904
2,1,3,2,0,0,1,905
1,0,2,3,0,0,3,906
2,0,1,2,1,0,3,907
2,1,2,1,2,1,1,908
3,1,1,0,1,1,1,909
3,0,1,1,0,0,2,910
3,0,2,0,1,1,3,911
1,1,3,3,1,0,1,912
3,1,0,0,0,0,4,913
1,0,1,3,0,1,3,914
1,1,1,3,1,0,1,915
1,0,2,3,1,0,3,916
3,1,3,2,0,0,1,917
1,0,1,3,1,0,2,918
3,1,1,0,1,1,1,919
1,1,2,2,0,1,1,920
3,1,1,2,1,0,1,921
2,1,3,2,0,0,1,922
2,1,1,3,0,0,1,923
3,0,2,2,0,0,3,924
3,0,1,2,0,0,3,925
1,1,1,3,1,0,1,926
3,1,1,0,1,1,1,927
3,0,1,1,0,1,2,928
3,0,1,1,0,1,2,929
3,1,1,1,0,1,1,930
3,1,2,3,0,1,1,931
3,1,2,1,1,0,1,932
1,1,1,2,0,1,1,933
3,1,2,0,0,1,1,934
2,0,1,1,0,1,3,935
1,0,2,3,0,0,3,936
3,1,1,1,0,1,1,937
1,1,2,2,1,1,1,938
3,1,2,0,2,1,1,939
1,0,3,3,1,1,3,940
3,0,2,2,0,0,3,941
1,1,1,3,0,0,1,942
2,1,1,2,1,1,1,943
2,0,1,2,0,0,2,944
1,0,1,3,0,0,2,945
2,1,1,2,1,1,1,946
3,1,0,2,2,0,4,947
3,1,2,0,0,1,1,948
3,1,1,0,0,1,1,949
3,1,1,2,0,0,1,950
1,0,2,3,1,1,2,951
3,1,1,0,0,1,1,952
2,1,1,1,0,1,1,953
3,1,1,0,0,1,1,954
3,0,1,0,2,1,2,955
1,1,0,3,1,0,4,956
2,0,1,2,0,1,3,957
3,0,1,0,2,1,2,958
1,1,2,3,0,1,1,959
1,1,1,2,1,1,1,960
1,0,3,3,0,0,3,961
3,0,1,0,2,1,2,962
3,1,1,0,0,1,1,963
3,0,1,1,0,1,2,964
1,1,1,2,1,1,1,965
1,0,2,3,1,1,2,966
1,1,1,3,1,1,1,967
3,1,1,1,0,1,1,968
1,0,3,2,0,0,3,969
2,1,1,1,0,1,1,970
3,0,1,0,2,1,2,971
3,1,0,2,1,0,4,972
1,1,4,3,0,0,1,973
1,1,3,2,0,1,1,974
3,1,1,0,0,1,1,975
2,1,0,1,2,1,1,976
3,1,1,2,1,0,1,977
3,0,1,0,2,1,2,978
3,0,1,1,0,1,2,979
3,0,2,0,2,1,2,980
2,1,0,2,0,0,4,981
3,0,1,1,0,0,3,982
3,1,1,0,0,1,1,983
1,0,1,3,0,0,3,984
3,1,1,1,0,1,1,985
1,1,1,2,1,1,1,986
3,1,1,0,0,1,1,987
1,0,4,3,0,0,3,988
3,1,1,1,0,1,1,989
3,0,1,0,0,1,2,990
3,1,2,1,0,1,1,991
1,0,2,3,1,0,3,992
2,1,1,2,0,0,1,993
3,1,1,0,2,1,1,994
3,1,1,0,0,1,1,995
3,0,0,1,1,0,3,996
3,1,1,2,0,1,1,997
3,1,1,0,2,1,1,998
3,1,1,0,2,1,1,999
3,1,2,1,0,1,1,1000
2,1,1,1,0,1,1,1001
2,1,2,2,1,1,1,1002
3,0,2,0,2,1,2,1003
1,0,2,3,1,1,2,1004
3,0,1,0,2,1,2,1005
1,0,3,3,0,0,3,1006
3,1,1,2,1,0,1,1007
3,1,1,0,1,1,1,1008
3,0,0,2,0,0,2,1009
1,1,2,3,1,1,1,1010
2,0,1,2,0,0,3,1011
2,0,0,2,0,1,2,1012
3,1,1,0,2,0,1,1013
1,0,2,3,1,0,3,1014
3,1,1,0,0,1,1,1015
3,1,2,0,2,1,1,1016
3,0,1,2,0,0,2,1017
3,1,1,0,0,1,1,1018
3,0,1,2,2,0,2,1019
2,1,2,1,0,1,1,1020
3,1,1,1,0,1,1,1021
3,1,1,1,0,1,1,1022
1,1,3,2,1,1,5,1023
3,0,1,2,0,0,3,1024
3,1,2,0,1,0,1,1025
3,1,2,0,0,1,1,1026
3,1,1,0,0,1,1,1027
3,1,1,0,1,1,1,1028
2,1,1,1,0,1,1,1029
3,0,1,1,0,1,2,1030
3,1,2,3,0,0,1,1031
3,0,0,3,0,0,2,1032
1,0,2,3,0,1,2,1033
1,1,3,3,1,0,1,1034
2,1,1,2,0,1,1,1035
1,1,2,2,0,1,1,1036
3,1,1,2,0,0,1,1037
1,1,0,3,0,1,1,1038
3,1,1,1,0,1,1,1039
1,1,2,2,0,1,1,1040
2,1,1,2,0,0,5,1041
1,0,1,3,1,0,3,1042
3,1,1,0,1,1,1,1043
3,1,3,2,0,1,1,1044
3,0,2,1,0,0,3,1045
3,1,0,3,0,0,4,1046
3,1,1,0,0,1,1,1047
1,0,1,3,0,1,2,1048
3,0,1,0,0,1,2,1049
1,1,2,2,0,1,1,1050
3,0,1,1,0,0,3,1051
3,0,2,0,2,1,2,1052
3,1,0,2,1,0,4,1053
2,0,1,1,0,1,2,1054
3,1,1,0,0,1,1,1055
2,1,2,1,0,1,5,1056
3,0,1,2,0,0,3,1057
1,1,2,3,1,1,1,1058
3,1,1,3,0,0,1,1059
1,0,2,2,1,1,3,1060
3,0,1,1,0,1,2,1061
3,1,2,0,0,1,1,1062
3,1,1,0,1,1,1,1063
3,1,1,1,0,0,1,1064
3,1,2,0,1,1,1,1065
3,1,2,3,0,0,1,1066
2,0,0,3,0,0,2,1067
2,0,1,3,0,1,2,1068
1,1,3,3,1,0,1,1069
2,0,2,3,0,0,3,1070
1,0,3,3,1,0,3,1071
2,1,1,1,0,1,1,1072
