Pclass,Sex,Age,SibSp,Parch,Embarked
3,male,34.5,1,1,Q
3,female,47.0,2,0,S
2,male,62.0,1,1,Q
3,male,27.0,1,1,S
3,female,22.0,3,0,S
3,male,14.0,1,1,S
3,female,30.0,1,1,Q
2,male,26.0,3,0,S
3,female,18.0,1,1,C
3,male,21.0,3,0,S
3,male,27.0,1,1,S
1,male,46.0,1,1,S
1,female,23.0,2,0,S
2,male,63.0,2,0,S
1,female,47.0,2,0,S
2,female,24.0,2,0,C
2,male,35.0,1,1,Q
3,male,21.0,1,1,C
3,female,27.0,2,0,S
3,female,45.0,1,1,C
1,male,55.0,2,0,C
3,male,9.0,2,0,S
1,female,27.0,1,1,S
1,male,21.0,2,0,C
1,female,48.0,5,0,C
3,male,50.0,2,0,S
1,female,22.0,2,0,C
3,male,22.5,1,1,C
1,male,41.0,1,1,S
3,male,27.0,3,0,C
2,male,50.0,2,0,S
2,male,24.0,3,0,S
3,female,33.0,4,0,S
3,female,27.0,4,0,S
1,male,30.0,2,0,C
3,male,18.5,1,1,C
3,female,27.0,1,1,S
3,female,21.0,1,1,S
3,male,25.0,1,1,S
3,male,27.0,1,1,S
3,male,39.0,2,0,C
1,male,27.0,1,1,S
3,male,41.0,1,1,S
2,female,30.0,1,1,S
1,female,45.0,2,0,S
3,male,25.0,1,1,S
1,male,45.0,1,1,C
3,male,27.0,1,1,Q
1,female,60.0,1,1,C
3,female,36.0,3,0,S
1,male,24.0,2,0,S
2,male,27.0,1,1,C
2,female,20.0,4,0,S
1,female,28.0,6,0,S
2,male,27.0,1,1,C
3,male,10.0,6,0,Q
3,male,35.0,1,1,S
3,male,25.0,1,1,S
3,male,27.0,2,0,S
1,female,36.0,1,1,C
3,male,17.0,1,1,S
2,male,32.0,1,1,S
3,male,18.0,1,1,S
3,female,22.0,1,1,Q
1,male,13.0,5,0,C
2,female,27.0,1,1,S
3,female,18.0,1,1,Q
1,male,47.0,1,1,S
1,male,31.0,1,1,C
1,female,60.0,6,0,S
3,female,24.0,1,1,Q
3,male,21.0,1,1,S
3,female,29.0,1,1,S
1,male,28.5,1,1,C
1,female,35.0,1,1,C
1,male,32.5,1,1,C
3,male,27.0,1,1,S
1,female,55.0,3,0,S
2,male,30.0,1,1,S
3,female,24.0,1,1,Q
3,male,6.0,3,0,C
